title,category,slug,source_url,client,role,year,location,description,technologies,collaborators,external_links,detail_page,notes
"Nike Air SoHo","Creative Technology","nike-air-soho","https://www.johnsyzonenko.com/project-nike-air-soho","Nike (Air Max campaign) via Chemistry Creative","Creative Technologist","February 2020","Nike flagship store, SoHo, NYC","Large-scale interactive multimedia installation built on TouchDesigner. Idle state shows the Nike logo with looping cloud animations; on detecting visitor presence the clouds shift color and inspirational quotes appear. Had a brief public lifespan before Covid-19 closures.","TouchDesigner; After Effects; Blender; RealSense; LED stage","Chemistry Creative; Lovejoy Paradise (supervisor); Vincent Houze (TouchDesigner/sensor placement)","https://www.chemcreative.com/ ; https://www.golovejoy.com/ ; https://vincenthouze.com/","yes",""
"Ledger OP3N","Creative Technology","ledger","https://www.johnsyzonenko.com/project-ledger","Chemistry Creative","Creative Technologist, V2","2022 (NFT.NYC)","Moonlight Studios, NYC","Interactive installation for NFT Week 2022. The centerpiece was an orange acrylic cube containing a suspended Ledger Nano that, when touched, triggered synchronized animations across screens throughout the venue. Combined idle and takeover animations with a 24-screen mosaic and an LED wall.","TouchDesigner; After Effects; Arduino; pressure sensors","Charlie Gangemi; Chemistry Creative design/install team; TXG; Jam3","https://www.chemcreative.com/","yes",""
"Diesel Sound of the Brave","Creative Technology","diesel","https://www.johnsyzonenko.com/project-diesel","Diesel via Chemistry Creative","Creative Technologist, V2","September 2022","Elsewhere, Brooklyn, NYC","Fragrance launch event with stage design built around 2 LED walls and 8 large flanking displays. DJ and performer sets ran alongside Diesel fragrance content, plus room activations including an LED wall photo booth with a variety of backgrounds.","TouchDesigner; After Effects; LED stage systems; pressure sensors","Chemistry Creative; Pete Sax (stage design); Greg Zifcak (V1 operations); Jason Crowley (photo, BFA/TXG)","https://www.chemcreative.com/ ; https://www.gzifcak.net/","yes",""
"Laser Control","Creative Technology","shaker-mountain","https://www.johnsyzonenko.com/project-shaker-mountain","Low-Res (Andrew Giugno)","Laser control and content creation","May 2023","Adirondacks, NY","Music festival project developing looping laser animations for the main camping area, built with a combination of After Effects and MadMapper and displayed throughout the weekend event.","After Effects; MadMapper; lasers","Andrew Giugno (Low-Res); Annie Forrest","https://lowres.co/ ; https://www.annieforrest.world/","yes","Index lists as Shaker Mountain 2023; homepage/nav label is Laser Control."
"Thought Patterns","Creative Technology","thought-patterns","https://www.johnsyzonenko.com/project-thought-patterns","Chemistry Creative","Live Generative Visuals + Video Editor","2020-2021","Brooklyn, NYC","Live music performance and interview series with audio-reactive generative visuals. Orchestrated and captured over a dozen live performance videos, created dynamic visuals projected on a large LED stage, ran real-time control of display surfaces, and handled weekly editing and publishing. Also covered virtual production and sound design for the short film Tether Tear. Emerged from pandemic isolation as a means of connecting through music.","TouchDesigner; After Effects; Premiere Pro; LED stage; live camera feedback","Pete Sax; Nicolas Motyka; Sydney MacDonald; Christopher Robinson; Danny Taylor; Charlie Gangemi; Monty; Danny Ballester; Kevin Condor","https://www.chemcreative.com/","yes","Also the home for the Endless Morning music video."
"Is it Okay? NFT","Creative Technology","is-it-okay-nft","https://www.johnsyzonenko.com/projects","Foundation","Creative Technology","","","Digital art / NFT piece.","","","Foundation.app listing","no","Index links out to foundation.app; no detail page on site."
"Spiegel im Spiegel","Film + Animation","yo-yo-ma","https://www.johnsyzonenko.com/project-yo-yo-ma","Sound Postings; Yo-Yo Ma","Video Designer","2022-present","Global tour","Custom visuals accompanying live performances of Arvo Part's composition. Design began with imagery from the Hubble and James Webb telescopes, emphasizing connections between macro and micro phenomena; later iterations incorporated photographer Austin Mann's work for region-specific visuals. Sequence has been customized for performances across multiple continents. Responsibilities covered image research, arrangement, experimentation, timeline editing, and final delivery.","Premiere Pro; After Effects","Sophie Shakleton (creative producer); Zion Jackson and THE OFFICE; Austin Mann (photographer); photo credit UN Partnerships/Pier Paolo Cito","https://austinmann.com","yes",""
"Incarceration Nations: A Global Docuseries","Film + Animation","incarceration-nations","https://www.johnsyzonenko.com/project-incarceration-nations","Incarceration Nations Network; Chemistry Creative","Animator, Video Editor, VFX","2020-2022","","Mixed-media educational series examining global mass incarceration across ten episodes, narrated by incarcerated and formerly incarcerated individuals from eight countries. Synthesizes interview footage and B-roll collected over years of prison visits, presenting both the crisis and solutions through work by justice partners worldwide. Selected by Tribeca Film Festival in 2021; screened in prisons, classrooms, museums, and community centers globally.","Premiere Pro; After Effects; TouchDesigner; Ableton; AnimVR; Procreate; Photoshop","Dr. Baz Dreisinger (director); Sydney MacDonald (coordination); Matthew Wilson (illustrations); Nicolas Motyka (assembly/editing); Danny Taylor (audio)","SoundCloud soundscapes by Traversable Dale","yes","Image filenames returned for this page were Blue Paradox assets - scraper bleed, do not trust asset list."
"Tether Tear","Film + Animation","tether-tear","https://www.johnsyzonenko.com/projects","","Virtual Production + Sound Design","","","Narrative short film.","","","IMDB listing","no","Index-only entry; links to IMDB. Related to Thought Patterns."
"The Writing on The Wall","Film + Animation","writing-on-the-wall","https://www.johnsyzonenko.com/projects","","Editing + Motion Graphics","","","Documentary / editorial piece.","","","Vimeo link","no","Index-only entry."
"NEJRC: Climate Justice","Film + Animation","nejrc-climate-justice","https://www.johnsyzonenko.com/projects","NEJRC","Camera, Editing, Animation","","","Environmental advocacy film.","","","","no","Index-only entry."
"Boston Art Review","Film + Animation","boston-art-review","https://www.johnsyzonenko.com/projects","Boston Art Review","Camera, Editing, Animation","","","Arts publication video work.","","","","no","Index-only entry."
"Gate VI","Music Video","gate-vi","https://www.johnsyzonenko.com/projects","Ka Baird","Camera, Editing, VFX","","","Music video.","","","YouTube link","no","Index-only entry."
"Human","Music Video","human","https://www.johnsyzonenko.com/projects","Death Habit","Animation, Editing, VFX","","","Music video.","","","YouTube link","no","Index-only entry."
"From Thin Air","Music Video","from-thin-air","https://www.johnsyzonenko.com/projects","Tristan Kasten-Krause","TouchDesigner","","","Real-time visual performance.","TouchDesigner","","YouTube link","no","Index-only entry."
"Hammer","Music Video","hammer","https://www.johnsyzonenko.com/projects","Death Habit","VFX","","","Music video visual effects.","","","YouTube link","no","Index-only entry."
"Endless Morning","Music Video","endless-morning","https://www.johnsyzonenko.com/project-thought-patterns","Thought Patterns","Animation + Editing","","","Music video produced under the Thought Patterns series.","","","","partial","Covered by the Thought Patterns detail page."
"Smiling & Crying","Music Video","smiling-and-crying","https://www.johnsyzonenko.com/projects","Death Habit","Camera","","","Performance documentation.","","","YouTube link","no","Index-only entry."
"Transmitter","Music Video","transmitter","https://www.johnsyzonenko.com/projects","Max Levin","Camera, Editing, VFX","","","Music video.","","","YouTube link","no","Index-only entry."
"Hoot Suite","Music Video","hoot-suite","https://www.johnsyzonenko.com/projects","Max Levin","Camera, Editing, VFX","","","Music video.","","","YouTube link","no","Index-only entry."
"Grown Man Hours","Music Video","grown-man-hours","https://www.johnsyzonenko.com/projects","Kahiem Rivera","TouchDesigner + VFX","","","Real-time graphics music video.","TouchDesigner","","YouTube link","no","Index-only entry."
"Mythic Love","Music Video","mythic-love","https://www.johnsyzonenko.com/projects","Bambara","TouchDesigner + Projections","","","Performance visualization.","TouchDesigner; projection","","YouTube link","no","Index-only entry."
